0 inf
1 172.32
2 128.67
3 115.92
4 111.705
5 113.608
6 111.327
7 108.074
8 107.43
9 108.936
10 106.664
11 107.584
12 108.935
13 107.675
14 106.986
15 106.676
16 105.78
17 105.626
18 104.171
19 105.18
20 104.366
21 103.724
22 103.854
23 103.445
24 103.364
25 102.65
26 102.741
27 103.87
28 103.611
29 103.32
30 103.301
31 103.443
32 103.769
33 104.128
34 104.396
35 104.539
36 104.844
37 104.842
38 104.895
39 104.566
40 105.253
41 105.132
42 105.145
43 105.004
44 104.478
45 104.426
46 104.087
47 103.884
48 103.633
49 103.736
50 104.074
51 103.719
52 103.377
53 103.061
54 102.893
55 102.639
56 102.724
57 102.72
58 102.902
59 103.173
60 103.027
61 102.822
62 102.596
63 102.386
64 101.966
65 101.796
66 101.58
67 101.32
68 101.543
69 101.897
70 101.727
71 101.673
72 101.438
73 101.422
74 101.164
75 100.868
76 100.697
77 101.034
78 100.805
79 100.903
80 101.107
81 101.297
82 101.05
83 101.006
84 100.747
85 100.734
86 100.728
87 100.665
88 100.542
89 100.629
90 100.826
91 100.794
92 100.769
93 100.52
94 100.583
95 100.506
96 100.467
97 100.606
98 100.58
99 100.581
